time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-01-07 02:44:39,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
100,2025-01-07 02:44:39,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
200,2025-01-07 02:44:39,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.7, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
300,2025-01-07 02:44:39,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.7, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
400,2025-01-07 02:44:39,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.7, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
500,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
600,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
700,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
800,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 10. Setting new Maximum Flight Altitude to 30m (98 ft)"
900,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,0,1050.8257783771,0,0,0,0,0,0,70.8, 1.3, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,0,65.12,1050.8257783771,0,41,Motors_Started,
1000,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.7, 1.3, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,41,Motors_Started,
1100,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.6, 1, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,41,Motors_Started,
1200,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.5, -0.2, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,41,Motors_Started,
1300,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.5, 0.6, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,41,Motors_Started,
1400,2025-01-07 02:44:40,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.5, 0.9, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,41,Motors_Started,
1500,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.4, 0.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,11,AutoTakeoff,
1600,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.3, 0.5, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,11,AutoTakeoff,
1700,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.2, 0, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,11,AutoTakeoff,
1800,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70.1, 0, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,11,AutoTakeoff,
1900,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.927,1050.8257783771,0,0,0,0,0,0,70, 0, 1,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,3.971,3.938,3.937,0,0,0,2.33,65.12,1050.8257783771,0,11,AutoTakeoff,
2000,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.848,1050.8257783771,0,0,0,0,0,0,70, -0.2, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,4.001,3.971,3.966,0,0,0,3.9,65.12,1050.8257783771,0,11,AutoTakeoff,
2100,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.848,1050.8257783771,0,0,0,0,0,0,69.8, -0.4, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,4.001,3.971,3.966,0,0,0,3.9,65.12,1050.8257783771,0,11,AutoTakeoff,
2200,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.848,1050.8257783771,0,0,0,0,0,0,69.2, -1.3, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,68.6,0,0,98,4.001,3.971,3.966,0,0,0,3.9,65.12,1050.8257783771,0,11,AutoTakeoff,
2300,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.848,1050.8257783771,0,0,0,0,0,0,67.9, -3.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,68.5,0,0,98,4.001,3.971,3.966,0,0,0,3.9,65.12,1050.8257783771,0,11,AutoTakeoff,
2400,2025-01-07 02:44:41,0,0,0,,,1050.8257783771,0,0,0,0,16,2,11.848,1050.8257783771,0,0,0,0,0.223694,0,66.7, -5.8, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,68.3,0,0,98,4.001,3.971,3.966,0,0,0,3.9,65.12,1050.8257783771,0,11,AutoTakeoff,
