time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2025-01-07 02:25:58,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1052.4244470634,0.328084,0,0,0,14,2,0,1052.4244470634,0,0,0,0,0,0,285, 4.3, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,0,64.04,1052.4244470634,0,41,Motors_Started,"機体が高度区域 (500 m)にいます。慎重に飛行してください。 (Code: 190001). IMU初期化中。IMUデータを復旧します (Code: 1610001A). センサーエラー。機体を再起動してください。 (Code: 1601000A). 送信機が紐付けされていない／紐付けステータスを確認中 (Code: 16100089). 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059). GNSS信号が微弱です。ホバリングが不安定です。慎重に飛行"
300,2025-01-07 02:25:58,0,0,0,,,1052.4244470634,0.328084,0,0,0,14,2,0,1052.4244470634,0,0,0,0,0,0,285, 4.3, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,0,64.04,1052.4244470634,0,41,Motors_Started,
500,2025-01-07 02:25:58,0,0,-0.328084,,,1052.0963630634,0,0,0,0,14,2,0,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,0,64.04,1052.0963630634,-0.328084,41,Motors_Started,
700,2025-01-07 02:25:58,0,0,-0.328084,,,1052.0963630634,0,0,0,0,14,2,0,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,0,64.04,1052.0963630634,-0.328084,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 85. Setting new Maximum Flight Altitude to 30m (98 ft)"
900,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,14,2,17.108,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,1.501,64.04,1052.0963630634,-0.328084,41,Motors_Started,"センサーエラー。機体を再起動してください。 (Code: 1601000A). 送信機が紐付けされていない／紐付けステータスを確認中 (Code: 16100089). GNSS信号が微弱です。ホバリングが不安定です。慎重に飛行してください (Code: 30002). 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
1100,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,14,2,17.108,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,1.501,64.04,1052.0963630634,-0.328084,41,Motors_Started,
1300,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,14,2,17.108,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,1.501,64.04,1052.0963630634,-0.328084,41,Motors_Started,
1500,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,13,2,17.108,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,1.501,64.04,1052.0963630634,-0.328084,41,Motors_Started,離陸準備中
1700,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,13,2,17.108,1052.4244470634,0,0,0,0,0,0,292, 4.4, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.236,4.231,4.23,4.227,0,0,1.501,64.04,1052.0963630634,-0.328084,11,AutoTakeoff,"センサーエラー。機体を再起動してください。 (Code: 1601000A). 送信機が紐付けされていない／紐付けステータスを確認中 (Code: 16100089). 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
1900,2025-01-07 02:25:59,0,0,-0.328084,,,1052.0963630634,0,0,0,0,13,2,16.803,1052.4244470634,0,0,0,0,0,0,291.9, 4.3, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,292,0,0,96,4.233,4.238,4.243,4.24,0,0,4.749,64.22,1052.0963630634,-0.328084,11,AutoTakeoff,"機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
