time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-01-13 04:23:23,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107, -2.4, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
100,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107, -2.4, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
200,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107, -2.4, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
300,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,106.9, -2.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
400,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107.1, -2.4, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
500,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,106.9, -2.3, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
600,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107.3, -2.5, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
700,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107.3, -1.8, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,飛行中
800,2025-01-13 04:23:23,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,106.6, -2.7, 1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
900,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107, -2.3, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 11. Setting new Maximum Flight Altitude to 30m (98 ft)"
1000,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,0,1050.4242839417,0,0,0,0,0,0,107, -2.6, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,0,54.68,1050.4242839417,0,41,Motors_Started,
1100,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,107.3, -2.5, 1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,41,Motors_Started,
1200,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.8, -2.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,41,Motors_Started,
1300,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.4, -2.4, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,41,Motors_Started,
1400,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.6, -2.6, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,41,Motors_Started,
1500,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.6, -2.5, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
1600,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.6, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
1700,2025-01-13 04:23:24,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.6, -2.4, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
1800,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.5, -2.4, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
1900,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.5, -2.4, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
2000,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.775,1050.4242839417,0,0,0,0,0,0,106.3, -2.4, 3.2,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.884,3.878,3.899,0,0,0,2.468,54.68,1050.4242839417,0,11,AutoTakeoff,
2100,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.702,1050.4242839417,0,0,0,0,0,0,106.1, -2.1, 4.1,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2200,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.702,1050.4242839417,0,0,0,0,0,0,106.2, -2.3, 3.9,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2300,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0,0,0,0,0,11.702,1050.4242839417,0,0,0,0,0,0,106.1, -2.7, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,107.7,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2400,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0.223694,0,0,0,0,11.702,1050.4242839417,0,0,0,-0.223694,0,0,105.6, -2.5, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,107.6,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2500,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0.447388,0,0,0,0,11.702,1050.4242839417,0,0,0,-0.447388,0,-0.223694,104.7, -2.2, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,107.6,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2600,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0.447388,0,0,0,0,11.702,1050.4242839417,0,0,0,-0.447388,0,-0.447388,104.4, -1.2, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,107.5,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2700,2025-01-13 04:23:25,0,0,0,,,1050.4242839417,0.328084,0.671082,0,0,0,0,11.702,1050.4242839417,0,0,0,-0.671082,0,-0.671082,104.5, 0.5, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,107.3,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.4242839417,0,11,AutoTakeoff,
2800,2025-01-13 04:23:26,0,0,0.328084,,,1050.7523679417,0.328084,0.671082,0,0,0,0,11.702,1050.7523679417,0.328084,0,0,-0.671082,0,-0.894776,104.3, 1.7, -4.1,0,0,1024,1024,1024,1024,0,0,0,0,107.2,0,0,98,3.923,3.91,3.924,0,0,0,3.637,54.68,1050.7523679417,0.328084,11,AutoTakeoff,
