time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-01-25 03:27:37,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1056.3554875435,0.328084,0,0,0,0,0,0,1056.3554875435,0,0,0,0,0,0,306.7, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,0,69.26,1056.3554875435,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 96. Setting new Maximum Flight Altitude to 30m (98 ft)"
200,2025-01-25 03:27:37,0,0,0,,,1056.3554875435,0.328084,0,0,0,0,0,0,1056.3554875435,0,0,0,0,0,0,306.7, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,0,69.26,1056.3554875435,0,41,Motors_Started,"機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
400,2025-01-25 03:27:37,0,0,0,,,1056.3554875435,0.328084,0,0,0,0,0,0,1056.3554875435,0,0,0,0,0,0,306.7, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,0,69.26,1056.3554875435,0,41,Motors_Started,
600,2025-01-25 03:27:37,0,0,0,,,1056.3554875435,0,0,0,0,0,0,0,1056.3554875435,0,0,0,0,0,0,307, 4.3, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,0,69.26,1056.3554875435,0,41,Motors_Started,"GNSS信号が微弱です。ホバリングが不安定です。慎重に飛行してください (Code: 30002). 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
800,2025-01-25 03:27:38,0,0,0,,,1056.3554875435,0,0,0,0,0,0,0,1056.3554875435,0,0,0,0,0,0,306.9, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,0,69.26,1056.3554875435,0,41,Motors_Started,GNSSがありません。慎重に飛行してください
1000,2025-01-25 03:27:38,0,0,0,,,1056.3554875435,0,0,0,0,0,0,17.121,1056.3554875435,0,0,0,0,0,0,306.9, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.6,0,0,100,4.259,4.257,4.256,4.254,0,0,1.859,69.26,1056.3554875435,0,41,Motors_Started,
1200,2025-01-25 03:27:38,0,0,0,,,1056.3554875435,0,0,0,0,0,0,17.121,1056.3554875435,0,0,0,0,0,0,307, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.7,0,0,100,4.259,4.257,4.256,4.254,0,0,1.859,69.26,1056.3554875435,0,41,Motors_Started,
1400,2025-01-25 03:27:38,0,0,0,,,1056.3554875435,0,0,0,0,0,0,17.121,1056.3554875435,0,0,0,0,0,0,307, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.7,0,0,100,4.259,4.257,4.256,4.254,0,0,1.859,69.26,1056.3554875435,0,41,Motors_Started,
1600,2025-01-25 03:27:38,0,0,0,,,1056.3554875435,0,0,0,0,0,0,17.121,1056.3554875435,0,0,0,0,0,0,306.9, 4.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,306.7,0,0,100,4.259,4.257,4.256,4.254,0,0,1.859,69.26,1056.3554875435,0,11,AutoTakeoff,
1800,2025-01-25 03:27:39,0,0,0,,,1056.3554875435,0,0,0,0,0,0,17.121,1056.3554875435,0,0,0,0,0,0,307, 4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,306.7,0,0,100,4.259,4.257,4.256,4.254,0,0,1.859,69.26,1056.3554875435,0,11,AutoTakeoff,"機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
