time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-03-09 05:57:11,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.1,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
100,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.1,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
200,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.1,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
300,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.1,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
400,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.1,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 23. Setting new Maximum Flight Altitude to 30m (98 ft)"
500,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
600,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
700,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
800,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
900,2025-03-09 05:57:11,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,0,1053.0693411129,0,0,0,0,0,0,81, 0.7, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,0,62.96,1053.0693411129,0,41,Motors_Started,
1000,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,80.9, 0.7, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
1100,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,81, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
1200,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,80.9, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
1300,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,80.8, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
1400,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,80.7, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
1500,2025-03-09 05:57:12,0,0,0,,,1053.0693411129,0.656168,0,0,0,14,2,12.05,1053.0693411129,0,0,0,0,0,0,80.7, 0.8, 1,0,0,1024,1024,1024,1024,0,0,0,0,83.2,0,0,98,3.962,3.953,3.957,0,0,0,1.893,62.96,1053.0693411129,0,41,Motors_Started,
