time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2025-03-14 05:04:16,37.0150537890237,140.1499987333,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1005.283598114,0,0,0,0,15,5,0,1005.283598114,0,0,0,0,0,0,303.3, 3.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,0,73.94,1005.283598114,0,41,Motors_Started,
300,2025-03-14 05:04:17,37.0150538178779,140.149998545808,0,,,1005.283598114,0,0,0.055626314116,0.055626314116,15,5,0,1005.283598114,0,0,0.055626314116,0,0,0,303.3, 3.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,0,73.94,1005.283598114,0,41,Motors_Started,"飛行中 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
500,2025-03-14 05:04:17,37.0150538667521,140.149998326966,0,,,1005.283598114,0,0,0.121724413344,0.121826775552,15,5,0,1005.283598114,0,0,0.121724413344,0,0,0,303.3, 3.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,0,73.94,1005.283598114,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 112. Setting new Maximum Flight Altitude to 150m (492 ft)"
700,2025-03-14 05:04:17,37.0150539322004,140.149998110972,0,,,1005.283598114,0,0,0.188674874804,0.189129599228,15,5,0,1005.283598114,0,0,0.188674874804,0,0,0,303.3, 3.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,0,73.94,1005.283598114,0,41,Motors_Started,
900,2025-03-14 05:04:17,37.0150540091321,140.149997916043,0,,,1005.283598114,0,0,0.251265427988,0.252475073696,15,5,0,1005.283598114,0,0,0.251265427988,0,0,0,303.4, 3.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,0,73.94,1005.283598114,0,41,Motors_Started,
1100,2025-03-14 05:04:17,37.0150540986459,140.149997736744,0,,,1005.283598114,0,0,0.311524288184,0.314078750208,15,5,16.628,1005.283598114,0,0,0.311524288184,0,0,0,303.4, 3.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,1.382,73.94,1005.283598114,0,41,Motors_Started,
1300,2025-03-14 05:04:18,37.0150541965357,140.149997560809,0,,,1005.283598114,0,0,0.37252953948,0.37654856848,15,5,16.628,1005.283598114,0,0,0.37252953948,0,0,0,303.4, 3.6, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,1.382,73.94,1005.283598114,0,41,Motors_Started,
1700,2025-03-14 05:04:18,37.0150544536322,140.14999731094,0,,,1005.283598114,0,0,0.4801017214,0.49528216808,15,5,16.628,1005.283598114,0,0,0.4801017214,0,0,0,303.4, 3.7, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.1,0,0,87,4.13,4.13,4.13,4.129,0,0,1.382,73.94,1005.283598114,0,11,AutoTakeoff,
1900,2025-03-14 05:04:18,37.0150545946137,140.149997221071,0,,,1005.283598114,0,0,0.52959647364,0.55299870536,15,5,16.628,1005.283598114,0,0,0.52959647364,0,0,0,303.4, 3.7, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.2,0,0,87,4.13,4.13,4.13,4.129,0,0,1.382,73.94,1005.283598114,0,11,AutoTakeoff,
2100,2025-03-14 05:04:18,37.0150547302946,140.149997130822,0,,,1005.283598114,0,0,0.57955054348,0.60905185676,15,5,16.45,1005.283598114,0,0,0.57955054348,0,0,0,303.3, -0.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,299.2,0,0,87,4.117,4.123,4.129,4.132,0,0,4.735,73.76,1005.283598114,0,11,AutoTakeoff,
