time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-03-22 03:51:26,37.125917614971,140.015793927604,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3080.861748522,0.328084,0,0,0,23,5,0,3080.861748522,0,0,0,0,0,0,62.7, 2.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,63,0,0,96,4.201,4.197,4.2,4.195,0,0,0,70.88,3080.861748522,0,6,P-GPS,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 117. Setting new Maximum Flight Altitude to 150m (492 ft) 機体が高度区域 (500 m)にいます。慎重に飛行してください。 (Code: 190001)"
200,2025-03-22 03:51:26,37.1259175280193,140.015793918305,0,,,3080.861748522,0.328084,0,0.031839403906,0.031839403906,23,5,0,3080.861748522,0,0,0.031839403906,0,0,0,62.8, 2.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,63,0,0,96,4.201,4.197,4.2,4.195,0,0,0,70.88,3080.861748522,0,41,Motors_Started,"飛行中 機体は飛行していません。ビジョンシステムと障害物回避が無効です (Code: 180059)"
400,2025-03-22 03:51:26,37.1259174335062,140.015793912648,0,,,3080.861748522,0.328084,0,0.06635006774,0.06636155068,23,5,0,3080.861748522,0,0,0.06635006774,0,0,0,62.8, 2.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,63,0,0,96,4.201,4.197,4.2,4.195,0,0,0,70.88,3080.861748522,0,41,Motors_Started,
600,2025-03-22 03:51:26,37.125917333609,140.015793897498,0,,,3080.861748522,0,0,0.103027562352,0.103074478364,23,5,0,3080.861748522,0,0,0.103027562352,0,0,0,63, 2.2, 3.1,0,0,1024,1024,1024,1024,0,0,0,0,63,0,0,96,4.201,4.197,4.2,4.195,0,0,0,70.88,3080.861748522,0,41,Motors_Started,
800,2025-03-22 03:51:27,37.1259172206026,140.015793853576,0,,,3080.861748522,0,0,0.145487537464,0.146239177908,23,5,0,3080.861748522,0,0,0.145487537464,0,0,0,64, 2.1, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,63,0,0,96,4.201,4.197,4.2,4.195,0,0,0,70.88,3080.861748522,0,41,Motors_Started,
1000,2025-03-22 03:51:27,37.1259171212253,140.015793822916,0,,,3080.861748522,0,0,0.182698824744,0.18357776178,23,5,16.981,3080.861748522,0,0,0.182698824744,0,0,0,64.7, 2, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,63.2,0,0,96,4.201,4.197,4.2,4.195,0,0,1.225,70.88,3080.861748522,0,41,Motors_Started,
1200,2025-03-22 03:51:27,37.1259170640221,140.015793839309,0,,,3080.861748522,0,0,0.20264764428,0.204986227032,23,5,16.981,3080.861748522,0,0,0.20264764428,0,0,0,64.7, 2, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,63.3,0,0,96,4.201,4.197,4.2,4.195,0,0,1.225,70.88,3080.861748522,0,41,Motors_Started,
1400,2025-03-22 03:51:27,37.1259170175325,140.015793871103,0,,,3080.861748522,0,0,0.218593839016,0.224305781456,23,5,16.981,3080.861748522,0,0,0.218593839016,0,0,0,64.7, 2, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,63.4,0,0,96,4.201,4.197,4.2,4.195,0,0,1.225,70.88,3080.861748522,0,41,Motors_Started,
1600,2025-03-22 03:51:27,37.1259169587527,140.015793898159,0,,,3080.861748522,0,0,0.239574154648,0.247150270376,23,5,16.981,3080.861748522,0,0,0.239574154648,0,0,0,64.7, 2, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,63.5,0,0,96,4.201,4.197,4.2,4.195,0,0,1.225,70.88,3080.861748522,0,11,AutoTakeoff,
1800,2025-03-22 03:51:28,37.1259168954684,140.015793917691,0,,,3080.861748522,0,0,0.262525927036,0.270928158276,24,5,16.981,3080.861748522,0,0,0.262525927036,0,0,0,64.6, 2, 3.7,0,0,1024,1024,1024,1024,0,0,0,0,63.6,0,0,96,4.201,4.197,4.2,4.195,0,0,1.225,70.88,3080.861748522,0,11,AutoTakeoff,
